Sun 09 Nov 2025 00:24:20 IST

SLURM_JOBID:		 8041819
SLURM_JOB_NODELIST:	 cs-pheno-11 

configuration parmas running: problem_type=brax es_algorithms=SNES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:42.994873 2077099 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/SNES/0]
Generation 360 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -4.06 | Mean fitness (Train): -24.04 | Mean fitness (Test): -6.56
Generation 370 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -5.79 | Mean fitness (Train): -19.02 | Mean fitness (Test): -8.95
Generation 380 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -5.76 | Mean fitness (Train): -15.51 | Mean fitness (Test): -8.03
Generation 390 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -3.69 | Mean fitness (Train): -51.10 | Mean fitness (Test): -6.42
Generation 400 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -4.49 | Mean fitness (Train): -24.32 | Mean fitness (Test): -7.91
Generation 410 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -2.86 | Mean fitness (Train): -25.03 | Mean fitness (Test): -7.37
Generation 420 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -6.53 | Mean fitness (Train): -40.39 | Mean fitness (Test): -20.57
Generation 430 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -3.08 | Mean fitness (Train): -15.75 | Mean fitness (Test): -10.37
Generation 440 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -5.95 | Mean fitness (Train): -16.11 | Mean fitness (Test): -8.07
Generation 450 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -4.80 | Mean fitness (Train): -14.58 | Mean fitness (Test): -11.12
Generation 460 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -4.63 | Mean fitness (Train): -30.86 | Mean fitness (Test): -5.72
Generation 470 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -4.97 | Mean fitness (Train): -29.14 | Mean fitness (Test): -15.23
Generation 480 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -3.38 | Mean fitness (Train): -22.37 | Mean fitness (Test): -6.01
Generation 490 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -5.46 | Mean fitness (Train): -23.06 | Mean fitness (Test): -16.04
Generation 500 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -3.04 | Mean fitness (Train): -13.94 | Mean fitness (Test): -8.23
Generation 510 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -4.87 | Mean fitness (Train): -12.03 | Mean fitness (Test): -10.27
Generation 520 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -6.83 | Mean fitness (Train): -18.47 | Mean fitness (Test): -13.15
