Sat 15 Nov 2025 22:55:10 IST

SLURM_JOBID:		 8184813
SLURM_JOB_NODELIST:	 cs-pheno-10 

configuration parmas running: problem_type=gymnax es_algorithms=SNES
Loading Problems ..:   0%|                                                                                                                                             | 0/4 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/jax/_src/ops/scatter.py:93: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
Successfully loaded: Asterix-MinAtar

running the experiment ... [../../results/GymnaxProblem/Asterix-MinAtar/SNES/0]
Generation 1290 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.08 | Mean fitness (Test): 0.00
Generation 1300 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 0.96 | Mean fitness (Test): 0.00
Generation 1310 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 0.62 | Mean fitness (Test): 2.00
Generation 1320 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 2.00
Generation 1330 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 14.00 | Mean fitness (Train): 1.59 | Mean fitness (Test): 0.00
Generation 1340 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.77 | Mean fitness (Test): 0.00
Generation 1350 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 10.00 | Mean fitness (Train): 2.80 | Mean fitness (Test): 3.00
Generation 1360 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 9.00 | Mean fitness (Train): 3.05 | Mean fitness (Test): 0.00
Generation 1370 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.87 | Mean fitness (Test): 1.00
Generation 1380 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.85 | Mean fitness (Test): 1.00
Generation 1390 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 0.83 | Mean fitness (Test): 1.00
Generation 1400 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 11.00 | Mean fitness (Train): 1.33 | Mean fitness (Test): 2.00
Generation 1410 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 1.18 | Mean fitness (Test): 2.00
Generation 1420 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.16 | Mean fitness (Test): 3.00
Generation 1430 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 10.00 | Mean fitness (Train): 2.05 | Mean fitness (Test): 5.00
Generation 1440 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.19 | Mean fitness (Test): 4.00
Generation 1450 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.91 | Mean fitness (Test): 4.00
Generation 1460 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.77 | Mean fitness (Test): 2.00
Generation 1470 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 1.57 | Mean fitness (Test): 1.00
Generation 1480 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.51 | Mean fitness (Test): 1.00
Generation 1490 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 12.00 | Mean fitness (Train): 0.81 | Mean fitness (Test): 1.00
Generation 1500 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.16 | Mean fitness (Test): 0.00
Generation 1510 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 12.00 | Mean fitness (Train): 2.87 | Mean fitness (Test): 7.00
Generation 1520 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.87 | Mean fitness (Test): 1.00
Generation 1530 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 9.00 | Mean fitness (Train): 1.39 | Mean fitness (Test): 1.00
Generation 1540 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 9.00 | Mean fitness (Train): 0.59 | Mean fitness (Test): 0.00
Generation 1550 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.11 | Mean fitness (Test): 0.00
Generation 1560 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.76 | Mean fitness (Test): 1.00
Generation 1570 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.50 | Mean fitness (Test): 0.00
Generation 1580 | Best fitness (Train): 16.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 1.11 | Mean fitness (Test): 3.00
Generation 1590 | Best fitness (Train): 16.00 | Best fitness in generation (Train): 10.00 | Mean fitness (Train): 1.98 | Mean fitness (Test): 0.00
Generation 1600 | Best fitness (Train): 16.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 0.08 | Mean fitness (Test): 0.00
Generation 1610 | Best fitness (Train): 16.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.25 | Mean fitness (Test): 1.00
Generation 1620 | Best fitness (Train): 16.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 1.63 | Mean fitness (Test): 1.00
Generation 1630 | Best fitness (Train): 16.00 | Best fitness in generation (Train): 9.00 | Mean fitness (Train): 2.16 | Mean fitness (Test): 2.00
